TopologicalNode rdfid,Substation name,Substation rdfid,Active injection (MW),Reactive injection (Mvar),Voltage (kV),Phase (degrees)
_1077330259_VL_TN1,1077330,_1077330259_VL,-16.9,-5.1,239,-5.9
_1077799056_VL_TN1,1077799,_1077799056_VL,-58.1,-19.8,241.7,-13.2
_1078455459_VL_TN1,1078455,_1078455459_VL,-33.4,-11.6,91.6,-18
_1078664201_VL_TN1,1078664,_1078664201_VL,-3,0.3,65,-7
_1078815725_VL_TN6,1078815,_1078815725_VL,16.5,7.6,21.2,-0.1
_1078815725_VL_TN5,1078815,_1078815725_VL,14,6.5,21.1,-0.9
_1078815725_VL_TN4,1078815,_1078815725_VL,15.8,4,21.6,1.4
_1078815725_VL_TN3,1078815,_1078815725_VL,16.3,3,21.6,1.4
_1078815725_VL_TN2,1078815,_1078815725_VL,17.8,0.5,21.5,1.5
_1078815725_VL_TN1,1078815,_1078815725_VL,17.3,0.5,21.5,1.4
_1079206505_VL_TN1,1079206,_1079206505_VL,-14.9,-9.1,63.3,-7.8
_108042687_VL_TN1,1080426,_108042687_VL,-1,1,65.3,-10.4
_1080627827_VL_TN1,1080627,_1080627827_VL,-0.8,0.5,91.9,-10.6
_1081069145_VL_TN2,1081069,_1081069145_VL,5,8.4,66,-10.2
_1081095508_VL_TN1,1081095,_1081095508_VL,6,2,64.8,-10.8
_1081119482_VL_TN1,1081119,_1081119482_VL,0,0,63.8,-5.9
_1081308145_VL_TN2,1081308,_1081308145_VL,0,0,62.6,-4.1
_1081308145_VL_TN1,1081308,_1081308145_VL,0,0,62.6,-4.1
_1082186598_VL_TN1,1082186,_1082186598_VL,-27.9,-0.1,62.8,-23.2
_108259242_VL_TN1,1082592,_108259242_VL,0,0,238.5,-10.8
_1082720572_VL_TN1,1082720,_1082720572_VL,-6.3,4.3,92.9,-11.8
_108311145_VL_TN2,1083111,_108311145_VL,-46.7,-20.6,237.3,-20.6
_1083220425_VL_TN1,1083220,_1083220425_VL,-40.1,-12,240.2,-11
_1083265333_VL_TN1,1083265,_1083265333_VL,0,0,238.3,-14.8
_1083564279_VL_TN1,1083564,_1083564279_VL,0,0,409.4,-4.8
_1083885783_VL_TN1,1083885,_1083885783_VL,0,0,407.6,-9.2
_1083977956_VL_TN1,1083977,_1083977956_VL,-2.3,-0.9,66.4,-1.9
_1084061075_VL_TN1,1084061,_1084061075_VL,49,-5.2,66,-1.1
_1084607883_VL_TN1,1084607,_1084607883_VL,0,0,236.6,-7.9
_1085066914_VL_TN1,1085066,_1085066914_VL,0,0,89.9,-20.2
_108519631_VL_TN1,1085196,_108519631_VL,-27.9,-2.7,64.1,-15.1
_1085388865_VL_TN1,1085388,_1085388865_VL,0,0,238.6,-4.9
_1086212753_VL_TN1,1086212,_1086212753_VL,0,0,63.6,-18.7
_108647307_VL_TN2,1086473,_108647307_VL,0,0,407.7,-3.4
_1086585794_VL_TN1,1086585,_1086585794_VL,-2.2,-1.6,63.9,-9.2
_1086740858_VL_TN1,1086740,_1086740858_VL,-16.7,-3.8,63,-16.1
_108688352_VL_TN1,1086883,_108688352_VL,-16.9,3.9,63.9,-3.7
_1086975947_VL_TN1,1086975,_1086975947_VL,-3.7,-0.9,66.1,-18.8
_1087264039_VL_TN1,1087264,_1087264039_VL,0,0,96.3,-6.5
_1087369768_VL_TN1,1087369,_1087369768_VL,0,0,65.1,-18.4
_1087521122_VL_TN1,1087521,_1087521122_VL,-12.6,-3.8,63.7,-7.2
_1087667076_VL_TN1,1087667,_1087667076_VL,0,-0.2,90.2,-20.2
_1087737704_VL_TN1,1087737,_1087737704_VL,-10.8,3.9,94.1,-16.3
_1088086665_VL_TN1,1088086,_1088086665_VL,-29.9,-5.4,93.5,-10.1
_1088123283_VL_TN1,1088123,_1088123283_VL,-7.4,-4.5,64.4,-9.9
_1088441545_VL_TN1,1088441,_1088441545_VL,-2.3,-0.2,63.7,-22.7
_1088563900_VL_TN1,1088563,_1088563900_VL,0,0,93.4,-18.8
_1088818122_VL_TN1,1088818,_1088818122_VL,0,0,231.2,-3.6
_1089342688_VL_TN1,1089342,_1089342688_VL,-9,-0.5,94.3,-30.8
_1089489529_VL_TN2,1089489,_1089489529_VL,-13,-9,94.3,-14.2
_1089489529_VL_TN1,1089489,_1089489529_VL,-6,-1.8,94.8,-14.1
_1089558972_VL_TN2,1089558,_1089558972_VL,0,-0.1,93.6,-11.7
_1089558972_VL_TN1,1089558,_1089558972_VL,-3,-0.1,93.6,-11.7
_1089663835_VL_TN1,1089663,_1089663835_VL,0,0,63.1,0.2
_1091677939_VL_TN1,1091677,_1091677939_VL,0,0,96.3,-6.4
_1092319029_VL_TN1,1092319,_1092319029_VL,5,5.3,94.2,-15.1
_1092479571_VL_TN1,1092479,_1092479571_VL,-9,-0.5,93.9,-17.6
_1092836921_VL_TN1,1092836,_1092836921_VL,0,0,63.6,-24
_1093312388_VL_TN1,1093312,_1093312388_VL,0,0,64.4,-5.1
_1093368898_VL_TN1,1093368,_1093368898_VL,0,0,238.7,-6.7
_1094123681_VL_TN1,1094123,_1094123681_VL,-1.2,1,66,-16.1
_1094334193_VL_TN1,1094334,_1094334193_VL,-32.4,-4.8,64.9,-8.3
_1094341_VL_TN1,1094341,_1094341_VL,0,0,239.2,-26.5
_1094564913_VL_TN1,1094564,_1094564913_VL,-35,-2.6,95.1,-27.9
_109516239_VL_TN1,1095162,_109516239_VL,-1,-0.1,63.8,-12.4
_10957159_VL_TN1,1095715,_10957159_VL,441.9,-76,406.2,2.1
_109660690_VL_TN1,1096606,_109660690_VL,0,0,240.1,-11.8
_1098300626_VL_TN1,1098300,_1098300626_VL,-13.2,-0.2,62.1,-34.5
_1098357678_VL_TN1,1098357,_1098357678_VL,0,0,63.1,-21.8
_1098802427_VL_TN1,1098802,_1098802427_VL,-6.1,-3.3,240.3,-5.1
_109885682_VL_TN1,1098856,_109885682_VL,-22.9,-6.1,91.9,-18.1
_1099035841_VL_TN1,1099035,_1099035841_VL,4,0.4,63.6,-7.1
_1099193197_VL_TN1,1099193,_1099193197_VL,-20.2,-7.8,63.9,-7
_109954537_VL_TN1,1099545,_109954537_VL,0,0,91.3,-12.6
_1100164061_VL_TN1,1100164,_1100164061_VL,0,0,65.9,-2.7
_1100539988_VL_TN1,1100539,_1100539988_VL,0,0,64.5,-20.7
